title,SKU,Price,Sale Price,DISCOUNT,Currency,price,availability,condition,description,link,image_link
Progesterone -,RKHS-1047,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Progesterone -,[link removed],[link removed]
WIDAL SLIDE.,RKHS-1048,₹330.00,₹264.00,20%,INR,330 INR,in stock,new,WIDAL SLIDE.,[link removed],[link removed]
Typhi DoT. by card,RKHS-1049,₹600.00,₹480.00,20%,INR,600 INR,in stock,new,Typhi DoT. by card,[link removed],[link removed]
Dengue Ns 1 Antigen,RKHS-1050,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue Ns 1 Antigen,[link removed],[link removed]
Dengue IgG (ELISA),RKHS-1051,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue IgG (ELISA),[link removed],[link removed]
Dengue IgM (ELISA),RKHS-1052,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue IgM (ELISA),[link removed],[link removed]
HIV I & II - Rapid -,RKHS-1053,₹475.00,₹380.00,20%,INR,475 INR,in stock,new,HIV I & II - Rapid -,[link removed],[link removed]
ANTI HCV - RAPID -,RKHS-1054,₹935.00,₹748.00,20%,INR,935 INR,in stock,new,ANTI HCV - RAPID -,[link removed],[link removed]
HbsAg By Rapid -,RKHS-1055,₹450.00,₹360.00,20%,INR,450 INR,in stock,new,HbsAg By Rapid -,[link removed],[link removed]
"Rpr, (VDRL SERUM)",RKHS-1056,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,"Rpr, (VDRL SERUM)",[link removed],[link removed]
Urine Routine Examination -,RKHS-1057,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,Urine Routine Examination -,[link removed],[link removed]
CS Urine -,RKHS-1058,₹950.00,₹760.00,20%,INR,950 INR,in stock,new,CS Urine -,[link removed],[link removed]
Stool Examination,RKHS-1059,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,Stool Examination,[link removed],[link removed]
Stool Occult Blood -,RKHS-1060,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,Stool Occult Blood -,[link removed],[link removed]
CS Stool -,RKHS-1061,₹450.00,₹360.00,20%,INR,450 INR,in stock,new,CS Stool -,[link removed],[link removed]
Z N Stain (Afb Stain) - SPUTUM,RKHS-1062,₹310.00,₹248.00,20%,INR,310 INR,in stock,new,Z N Stain (Afb Stain) - SPUTUM,[link removed],[link removed]
CS-SPUTUM,RKHS-1063,₹500.00,₹400.00,20%,INR,500 INR,in stock,new,CS-SPUTUM,[link removed],[link removed]
PSA -,RKHS-1064,₹935.00,₹748.00,20%,INR,935 INR,in stock,new,PSA -,[link removed],[link removed]
"Microalbumin/Creatinine Ratio, Urine -",RKHS-1065,₹790.00,₹632.00,20%,INR,790 INR,in stock,new,"Microalbumin/Creatinine Ratio, Urine -",[link removed],[link removed]
Anti CCP -,RKHS-1066,"₹1,375.00","₹1,100.00",20%,INR,1375 INR,in stock,new,Anti CCP -,[link removed],[link removed]
Anti TPO Ab. -,RKHS-1067,"₹1,150.00",₹920.00,20%,INR,1150 INR,in stock,new,Anti TPO Ab. -,[link removed],[link removed]
Anti Mullerian Hormone (AMH),RKHS-1068,"₹2,145.00","₹1,716.00",20%,INR,2145 INR,in stock,new,Anti Mullerian Hormone (AMH),[link removed],[link removed]
RA Factor,RKHS-1069,₹495.00,₹396.00,20%,INR,495 INR,in stock,new,RA Factor,[link removed],[link removed]
Antistreptolysin-O (ASO),RKHS-1070,₹473.00,₹378.40,20%,INR,473 INR,in stock,new,Antistreptolysin-O (ASO),[link removed],[link removed]
DCT (Direct Coombs Test) -,RKHS-1071,₹825.00,₹660.00,20%,INR,825 INR,in stock,new,DCT (Direct Coombs Test) -,[link removed],[link removed]
ICT (INDIRECT COOMBS TEST) - Tube Agglutination,RKHS-1072,₹825.00,₹660.00,20%,INR,825 INR,in stock,new,ICT (INDIRECT COOMBS TEST) - Tube Agglutination,[link removed],[link removed]
"IRON STUDIES - (IRON, TIBC, FERRITIN, Transferrin Sat",RKHS-1073,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,"IRON STUDIES - (IRON, TIBC, FERRITIN, Transferrin Sat",[link removed],[link removed]
Ferritin -,RKHS-1074,₹800.00,₹640.00,20%,INR,800 INR,in stock,new,Ferritin -,[link removed],[link removed]
Iron,RKHS-1075,₹420.00,₹336.00,20%,INR,420 INR,in stock,new,Iron,[link removed],[link removed]
TIBC-,RKHS-1076,₹440.00,₹352.00,20%,INR,440 INR,in stock,new,TIBC-,[link removed],[link removed]
CA 125-,RKHS-1077,"₹1,000.00",₹800.00,20%,INR,1000 INR,in stock,new,CA 125-,[link removed],[link removed]
CA 19-9-,RKHS-1078,"₹1,200.00",₹960.00,20%,INR,1200 INR,in stock,new,CA 19-9-,[link removed],[link removed]
Protein Electrophoresis -,RKHS-1079,₹950.00,₹760.00,20%,INR,950 INR,in stock,new,Protein Electrophoresis -,[link removed],[link removed]
Nt-ProBNP - EDTA,RKHS-1080,"₹3,450.00","₹2,760.00",20%,INR,3450 INR,in stock,new,Nt-ProBNP - EDTA,[link removed],[link removed]
ANA IFA -,RKHS-1081,"₹1,100.00",₹880.00,20%,INR,1100 INR,in stock,new,ANA IFA -,[link removed],[link removed]
ANA PROFILE BY IMMUNOBLOT. -,RKHS-1082,"₹3,850.00","₹3,080.00",20%,INR,3850 INR,in stock,new,ANA PROFILE BY IMMUNOBLOT. -,[link removed],[link removed]
Estradiol - (E2),RKHS-1083,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Estradiol - (E2),[link removed],[link removed]
D-Dimer -,RKHS-1084,"₹1,200.00",₹960.00,20%,INR,1200 INR,in stock,new,D-Dimer -,[link removed],[link removed]
ANCA-C & ANCA-P By IFA-,RKHS-1085,"₹2,600.00","₹2,080.00",20%,INR,2600 INR,in stock,new,ANCA-C & ANCA-P By IFA-,[link removed],[link removed]
Cortisol (Am) - morning 8 am,RKHS-1086,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Cortisol (Am) - morning 8 am,[link removed],[link removed]
Cortisol (Pm) - evening,RKHS-1087,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Cortisol (Pm) - evening,[link removed],[link removed]
"Insulin Fasting, pp, random",RKHS-1088,₹770.00,₹616.00,20%,INR,770 INR,in stock,new,"Insulin Fasting, pp, random",[link removed],[link removed]
Testosterone,RKHS-1089,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Testosterone,[link removed],[link removed]
TORCH COMPLEX 10 (HO) -,RKHS-1090,"₹1,925.00","₹1,540.00",20%,INR,1925 INR,in stock,new,TORCH COMPLEX 10 (HO) -,[link removed],[link removed]
IgE -,RKHS-1091,₹700.00,₹560.00,20%,INR,700 INR,in stock,new,IgE -,[link removed],[link removed]
IgG-,RKHS-1092,₹700.00,₹560.00,20%,INR,700 INR,in stock,new,IgG-,[link removed],[link removed]
IgM -,RKHS-1093,₹700.00,₹560.00,20%,INR,700 INR,in stock,new,IgM -,[link removed],[link removed]
Double Marker -,RKHS-1094,"₹2,200.00","₹1,760.00",20%,INR,2200 INR,in stock,new,Double Marker -,[link removed],[link removed]
Triple Marker -,RKHS-1095,"₹2,750.00","₹2,200.00",20%,INR,2750 INR,in stock,new,Triple Marker -,[link removed],[link removed]
Quadruple Marker -,RKHS-1096,"₹3,025.00","₹2,420.00",20%,INR,3025 INR,in stock,new,Quadruple Marker -,[link removed],[link removed]
RUB IGG (HO) - Rubella,RKHS-1097,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,RUB IGG (HO) - Rubella,[link removed],[link removed]
RUB IGM(HO) - Rubella,RKHS-1098,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,RUB IGM(HO) - Rubella,[link removed],[link removed]
Hb ELECTROPHORESIS BY HPLC-,RKHS-1099,₹800.00,₹640.00,20%,INR,800 INR,in stock,new,Hb ELECTROPHORESIS BY HPLC-,[link removed],[link removed]
PTH - (EDTA),RKHS-1100,"₹1,450.00","₹1,160.00",20%,INR,1450 INR,in stock,new,PTH - (EDTA),[link removed],[link removed]
￼Semen Culture,RKHS-1101,"₹1,600.00","₹1,280.00",20%,INR,1600 INR,in stock,new,￼Semen Culture,[link removed],[link removed]
24 Hours Micro Albumin,RKHS-1102,₹798.00,₹638.40,20%,INR,798 INR,in stock,new,24 Hours Micro Albumin,[link removed],[link removed]
